date,year,month,president,approval,disapproval,n_obs,source,event,event_label,shock_sewol,shock_mers,shock_choi_scandal,shock_cho_kuk
2017-01-01,2017,1,Park Geun-hye,4.7,89.7,3,weekly,,,,,post_m3_r0.137,
2017-02-01,2017,2,Park Geun-hye,4.7,88.3,3,weekly,,,,,post_m4_r0.137,
2017-03-01,2017,3,Park Geun-hye,4.5,88.0,2,weekly,court_ruling,Constitutional Court upholds impeachment (8-0); Park removed,,,post_m5_r0.132,
2017-06-01,2017,6,Moon Jae-in,81.6,10.8,5,weekly,,,,,,
2017-07-01,2017,7,Moon Jae-in,78.5,12.5,4,weekly,,,,,,
2017-08-01,2017,8,Moon Jae-in,77.6,14.8,5,weekly,,,,,,
2017-09-01,2017,9,Moon Jae-in,69.0,23.2,4,weekly,,,,,,
2017-10-01,2017,10,Moon Jae-in,72.0,20.3,3,weekly,,,,,,
2017-11-01,2017,11,Moon Jae-in,73.4,18.2,5,weekly,,,,,,
2017-12-01,2017,12,Moon Jae-in,72.0,19.5,2,weekly,,,,,,
2018-01-01,2018,1,Moon Jae-in,69.0,22.2,4,weekly,,,,,,
2018-02-01,2018,2,Moon Jae-in,64.5,26.5,4,weekly,,,,,,
2018-03-01,2018,3,Moon Jae-in,71.5,20.0,4,weekly,,,,,,
2018-04-01,2018,4,Moon Jae-in,72.2,18.8,4,weekly,,,,,,
2018-05-01,2018,5,Moon Jae-in,77.6,13.2,5,weekly,,,,,,
2018-06-01,2018,6,Moon Jae-in,75.7,14.7,3,weekly,,,,,,
2018-07-01,2018,7,Moon Jae-in,67.2,23.0,4,weekly,,,,,,
2018-08-01,2018,8,Moon Jae-in,57.4,32.6,5,weekly,,,,,,
2018-09-01,2018,9,Moon Jae-in,53.3,37.0,3,weekly,,,,,,
2018-10-01,2018,10,Moon Jae-in,62.2,27.5,4,weekly,,,,,,
2018-11-01,2018,11,Moon Jae-in,53.4,37.6,5,weekly,,,,,,
2018-12-01,2018,12,Moon Jae-in,46.3,43.7,3,weekly,,,,,,
2019-01-01,2019,1,Moon Jae-in,47.0,44.2,4,weekly,,,,,,
2019-02-01,2019,2,Moon Jae-in,47.0,43.7,3,weekly,,,,,,
2019-03-01,2019,3,Moon Jae-in,44.5,45.2,4,weekly,,,,,,
2019-04-01,2019,4,Moon Jae-in,45.0,45.8,4,weekly,,,,,,
2019-05-01,2019,5,Moon Jae-in,45.4,45.4,5,weekly,,,,,,
2019-06-01,2019,6,Moon Jae-in,46.0,45.0,4,weekly,,,,,,pre
2019-07-01,2019,7,Moon Jae-in,47.5,42.8,4,weekly,,,,,,pre
2019-08-01,2019,8,Moon Jae-in,46.0,45.5,4,weekly,cho_kuk_nominated,Cho Kuk nominated as Justice Minister,,,,pre
2019-09-01,2019,9,Moon Jae-in,41.3,50.7,3,weekly,,,,,,shock_month
2019-10-01,2019,10,Moon Jae-in,41.8,50.4,5,weekly,cho_kuk_resigns,Cho Kuk resigns after 35 days,,,,post_m1_r0.899
2019-11-01,2019,11,Moon Jae-in,45.5,46.8,4,weekly,,,,,,post_m2_r0.978
2019-12-01,2019,12,Moon Jae-in,47.0,44.7,3,weekly,,,,,,post_m3_r1.011
2020-01-01,2020,1,Moon Jae-in,44.3,46.3,3,weekly,,,,,,post_m4_r0.953
2020-02-01,2020,2,Moon Jae-in,43.8,48.8,4,weekly,,,,,,post_m5_r0.942
2020-03-01,2020,3,Moon Jae-in,49.2,43.5,4,weekly,,,,,,post_m6_r1.058
2020-04-01,2020,4,Moon Jae-in,59.6,32.0,5,weekly,,,,,,
2020-05-01,2020,5,Moon Jae-in,66.5,24.8,4,weekly,,,,,,
2020-06-01,2020,6,Moon Jae-in,57.2,33.2,4,weekly,,,,,,
2020-07-01,2020,7,Moon Jae-in,46.4,43.8,5,weekly,,,,,,
2020-08-01,2020,8,Moon Jae-in,44.2,46.8,4,weekly,,,,,,
2020-09-01,2020,9,Moon Jae-in,45.0,45.5,4,weekly,,,,,,
2020-10-01,2020,10,Moon Jae-in,44.3,44.3,3,weekly,,,,,,
2020-11-01,2020,11,Moon Jae-in,43.2,46.2,4,weekly,,,,,,
2020-12-01,2020,12,Moon Jae-in,39.0,52.3,3,weekly,,,,,,
2021-01-01,2021,1,Moon Jae-in,37.8,53.5,4,weekly,,,,,,
2021-02-01,2021,2,Moon Jae-in,39.0,51.3,3,weekly,,,,,,
2021-03-01,2021,3,Moon Jae-in,37.2,54.8,4,weekly,,,,,,
2021-04-01,2021,4,Moon Jae-in,30.5,60.0,4,weekly,,,,,,
2021-05-01,2021,5,Moon Jae-in,34.2,57.2,4,weekly,,,,,,
2021-06-01,2021,6,Moon Jae-in,38.8,52.2,4,weekly,,,,,,
2021-07-01,2021,7,Moon Jae-in,38.8,52.6,5,weekly,,,,,,
2021-08-01,2021,8,Moon Jae-in,38.8,52.5,4,weekly,,,,,,
2021-09-01,2021,9,Moon Jae-in,38.2,53.8,4,weekly,,,,,,
2021-10-01,2021,10,Moon Jae-in,37.0,55.0,4,weekly,,,,,,
2021-11-01,2021,11,Moon Jae-in,36.2,56.8,4,weekly,,,,,,
2021-12-01,2021,12,Moon Jae-in,37.7,54.7,3,weekly,,,,,,
2022-01-01,2022,1,Moon Jae-in,41.5,51.8,4,weekly,,,,,,
2022-02-01,2022,2,Moon Jae-in,41.3,52.0,3,weekly,,,,,,
2022-03-01,2022,3,Moon Jae-in,43.2,50.4,5,weekly,,,,,,
2022-04-01,2022,4,Moon Jae-in,44.0,49.8,4,weekly,,,,,,
2022-05-01,2022,5,Yoon Suk-yeol,49.3,40.7,3,weekly,,,,,,
2022-06-01,2022,6,Yoon Suk-yeol,49.0,37.0,5,weekly,,,,,,
2022-07-01,2022,7,Yoon Suk-yeol,32.2,56.0,4,weekly,,,,,,
2022-08-01,2022,8,Yoon Suk-yeol,26.0,65.0,4,weekly,,,,,,
2022-09-01,2022,9,Yoon Suk-yeol,28.0,62.0,4,weekly,,,,,,
2022-10-01,2022,10,Yoon Suk-yeol,28.5,63.2,4,weekly,,,,,,
2022-11-01,2022,11,Yoon Suk-yeol,29.5,62.0,4,weekly,,,,,,
2022-12-01,2022,12,Yoon Suk-yeol,33.3,58.3,3,weekly,,,,,,
2023-01-01,2023,1,Yoon Suk-yeol,36.0,55.3,3,weekly,,,,,,
2023-02-01,2023,2,Yoon Suk-yeol,34.5,57.2,4,weekly,,,,,,
2023-03-01,2023,3,Yoon Suk-yeol,33.4,58.2,5,weekly,,,,,,
2023-04-01,2023,4,Yoon Suk-yeol,29.8,62.2,4,weekly,,,,,,
2023-05-01,2023,5,Yoon Suk-yeol,35.2,56.8,4,weekly,,,,,,
2023-06-01,2023,6,Yoon Suk-yeol,35.5,56.8,4,weekly,,,,,,
2023-07-01,2023,7,Yoon Suk-yeol,34.5,56.0,4,weekly,,,,,,
2023-08-01,2023,8,Yoon Suk-yeol,33.8,57.2,4,weekly,,,,,,
2023-09-01,2023,9,Yoon Suk-yeol,32.0,59.0,3,weekly,,,,,,
2023-10-01,2023,10,Yoon Suk-yeol,32.0,59.0,3,weekly,,,,,,
2023-11-01,2023,11,Yoon Suk-yeol,33.8,57.6,5,weekly,,,,,,
2023-12-01,2023,12,Yoon Suk-yeol,31.5,60.5,2,weekly,,,,,,
2024-01-01,2024,1,Yoon Suk-yeol,32.0,60.0,3,weekly,,,,,,
2024-02-01,2024,2,Yoon Suk-yeol,33.8,58.0,4,weekly,,,,,,
2024-03-01,2024,3,Yoon Suk-yeol,35.8,56.8,4,weekly,,,,,,
2024-04-01,2024,4,Yoon Suk-yeol,23.5,66.5,2,weekly,,,,,,
2024-05-01,2024,5,Yoon Suk-yeol,23.0,68.0,3,weekly,,,,,,
2024-06-01,2024,6,Yoon Suk-yeol,25.7,65.3,3,weekly,,,,,,
2024-07-01,2024,7,Yoon Suk-yeol,27.0,63.8,4,weekly,,,,,,
2024-08-01,2024,8,Yoon Suk-yeol,25.0,64.5,2,weekly,,,,,,
2024-09-01,2024,9,Yoon Suk-yeol,22.0,68.3,3,weekly,,,,,,
2024-10-01,2024,10,Yoon Suk-yeol,20.3,70.3,3,weekly,,,,,,
2024-11-01,2024,11,Yoon Suk-yeol,19.0,72.2,4,weekly,,,,,,
2024-12-01,2024,12,Yoon Suk-yeol,13.5,80.0,2,weekly,,,,,,
2025-06-01,2025,6,Lee Jae-myung,64.0,21.0,1,weekly,,,,,,
2025-07-01,2025,7,Lee Jae-myung,64.0,23.0,3,weekly,,,,,,
2025-08-01,2025,8,Lee Jae-myung,58.0,31.7,3,weekly,,,,,,
2025-09-01,2025,9,Lee Jae-myung,59.0,31.8,4,weekly,,,,,,
2025-10-01,2025,10,Lee Jae-myung,55.7,33.7,3,weekly,,,,,,
2025-11-01,2025,11,Lee Jae-myung,60.5,30.5,4,weekly,,,,,,
2025-12-01,2025,12,Lee Jae-myung,57.7,33.0,3,weekly,,,,,,
2026-01-01,2026,1,Lee Jae-myung,59.8,31.0,4,weekly,,,,,,
2026-02-01,2026,2,Lee Jae-myung,61.7,27.0,3,weekly,,,,,,
2026-03-01,2026,3,Lee Jae-myung,66.0,24.7,3,weekly,,,,,,
