survey,wave_key,raw_var,harmonized_name,a_end,b_end,c_end,a_n,b_n,c_n,b_convention,verdict,detail
ipus,2017,UNI01,uni_necessity,low,low,,5,7,,unknown,cardinality_mismatch,"A=5,B=7"
ipus,2018,NK04,nk_regime_wants_unif,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2018,NK05,nk_recent_change,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2018,NK10,nk_nuke_threat,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2018,UNI01,uni_necessity,low,low,,5,7,,unknown,cardinality_mismatch,"A=5,B=7"
ipus,2019,NK04,nk_regime_wants_unif,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2019,NK05,nk_recent_change,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2019,NK10,nk_nuke_threat,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2019,UNI01,uni_necessity,low,low,,5,7,,unknown,cardinality_mismatch,"A=5,B=7"
ipus,2020,NK04,nk_regime_wants_unif,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2020,NK05,nk_recent_change,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2020,NK10,nk_nuke_threat,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2020,UNI01,uni_necessity,low,low,,5,7,,unknown,cardinality_mismatch,"A=5,B=7"
ipus,2021,NK04,nk_regime_wants_unif,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2021,NK05_B,nk_recent_change,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2021,NK10,nk_nuke_threat,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2021,UNI01_A,uni_necessity,low,low,,5,5,,unknown,concordant,"A=low,B=low"
ipus,2022,NK04,nk_regime_wants_unif,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2022,NK05_B,nk_recent_change,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2022,NK10,nk_nuke_threat,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2022,UNI01_A,uni_necessity,low,low,,5,5,,unknown,concordant,"A=low,B=low"
ipus,2023,NK04,nk_regime_wants_unif,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2023,NK05_B,nk_recent_change,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2023,NK10,nk_nuke_threat,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2023,UNI01_A,uni_necessity,low,low,,5,5,,unknown,concordant,"A=low,B=low"
ipus,2024,NK04,nk_regime_wants_unif,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2024,NK05_B,nk_recent_change,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2024,NK10,nk_nuke_threat,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2024,UNI01_A,uni_necessity,low,low,,5,5,,unknown,concordant,"A=low,B=low"
