wave,raw_variable,harmonized_name,yaml_file
w2012,nk04,nk_regime_wants_unif,north_korea.yml
w2013,nk04,nk_regime_wants_unif,north_korea.yml
w2014,nk04,nk_regime_wants_unif,north_korea.yml
w2015,nk04,nk_regime_wants_unif,north_korea.yml
w2016,nk04,nk_regime_wants_unif,north_korea.yml
w2017,nk04,nk_regime_wants_unif,north_korea.yml
w2018,nk04,nk_regime_wants_unif,north_korea.yml
w2019,nk04,nk_regime_wants_unif,north_korea.yml
w2020,nk04,nk_regime_wants_unif,north_korea.yml
w2021,nk04,nk_regime_wants_unif,north_korea.yml
w2022,nk04,nk_regime_wants_unif,north_korea.yml
w2023,nk04,nk_regime_wants_unif,north_korea.yml
w2024,nk04,nk_regime_wants_unif,north_korea.yml
w2007,a36,nk_sk_relations,north_korea.yml
w2008,b31,nk_sk_relations,north_korea.yml
w2009,a38,nk_sk_relations,north_korea.yml
w2010,a38,nk_sk_relations,north_korea.yml
w2011,nk01,nk_sk_relations,north_korea.yml
w2012,nk01,nk_sk_relations,north_korea.yml
w2013,nk01,nk_sk_relations,north_korea.yml
w2014,nk01,nk_sk_relations,north_korea.yml
w2015,nk01,nk_sk_relations,north_korea.yml
w2016,nk01,nk_sk_relations,north_korea.yml
w2017,nk01,nk_sk_relations,north_korea.yml
w2018,nk01,nk_sk_relations,north_korea.yml
w2019,nk01,nk_sk_relations,north_korea.yml
w2020,nk01,nk_sk_relations,north_korea.yml
w2021,nk01,nk_sk_relations,north_korea.yml
w2022,nk01,nk_sk_relations,north_korea.yml
w2023,nk01,nk_sk_relations,north_korea.yml
w2024,nk01,nk_sk_relations,north_korea.yml
w2007,a12,uni_necessity,unification.yml
w2008,b06,uni_necessity,unification.yml
w2009,a12,uni_necessity,unification.yml
w2010,a12,uni_necessity,unification.yml
w2011,uni01,uni_necessity,unification.yml
w2012,uni01,uni_necessity,unification.yml
w2013,uni01,uni_necessity,unification.yml
w2014,uni01,uni_necessity,unification.yml
w2015,uni01,uni_necessity,unification.yml
w2016,uni01,uni_necessity,unification.yml
w2017,uni01,uni_necessity,unification.yml
w2018,uni01,uni_necessity,unification.yml
w2019,uni01,uni_necessity,unification.yml
w2020,uni01,uni_necessity,unification.yml
w2021,uni01_a,uni_necessity,unification.yml
w2022,uni01_a,uni_necessity,unification.yml
w2023,uni01_a,uni_necessity,unification.yml
w2024,uni01_a,uni_necessity,unification.yml
w2007,a14,uni_timing,unification.yml
w2008,b08,uni_timing,unification.yml
w2009,a14,uni_timing,unification.yml
w2010,a14,uni_timing,unification.yml
w2011,uni03,uni_timing,unification.yml
w2012,uni03,uni_timing,unification.yml
w2013,uni03,uni_timing,unification.yml
w2014,uni03,uni_timing,unification.yml
w2015,uni03,uni_timing,unification.yml
w2016,uni03,uni_timing,unification.yml
w2017,uni03,uni_timing,unification.yml
w2018,uni03,uni_timing,unification.yml
w2019,uni03,uni_timing,unification.yml
w2020,uni03,uni_timing,unification.yml
w2021,uni03,uni_timing,unification.yml
w2022,uni03,uni_timing,unification.yml
w2023,uni03,uni_timing,unification.yml
w2024,uni03,uni_timing,unification.yml
w2007,a13,uni_view,unification.yml
w2008,b07,uni_view,unification.yml
w2009,a13,uni_view,unification.yml
w2010,a13,uni_view,unification.yml
w2011,uni02,uni_view,unification.yml
w2012,uni02,uni_view,unification.yml
w2013,uni02,uni_view,unification.yml
w2014,uni02,uni_view,unification.yml
w2015,uni02,uni_view,unification.yml
w2016,uni02,uni_view,unification.yml
w2017,uni02,uni_view,unification.yml
w2018,uni02,uni_view,unification.yml
w2019,uni02_01,uni_view,unification.yml
w2020,uni02_01,uni_view,unification.yml
w2021,uni02_01,uni_view,unification.yml
w2022,uni02_01,uni_view,unification.yml
w2023,uni02_01,uni_view,unification.yml
w2024,uni02_01,uni_view,unification.yml
