"concept","variable_id","wave","question"
"democracy_tradeoffs","dem_statement_pair_1","w5","q82"
"democracy_tradeoffs","dem_statement_pair_1_intensity","w4","q79a"
"democracy_tradeoffs","dem_statement_pair_1_intensity","w5","q82a"
"democracy_tradeoffs","dem_statement_pair_2","w4","q80"
"democracy_tradeoffs","dem_statement_pair_2_intensity","w4","q80a"
"democracy_tradeoffs","dem_statement_pair_3","w4","q81"
"democracy_tradeoffs","dem_statement_pair_3_intensity","w4","q81a"
"democracy_tradeoffs","dem_statement_pair_4","w4","q82"
"democracy_tradeoffs","dem_statement_pair_4_intensity","w4","q82a"
"democracy_tradeoffs","dem_statement_opinion","w4","q125"
"democracy_tradeoffs","dem_statement_opinion","w5","q132"
"democracy_tradeoffs","dem_statement_view","w4","q126"
"democracy_tradeoffs","dem_statement_view","w5","q133"
"democracy","dem_sat_national","w1","q098"
"democracy","dem_sat_national","w2","q93"
"democracy","dem_sat_national","w3","q89"
"democracy","dem_sat_national","w4","q92"
"democracy","dem_sat_national","w5","q99"
"democracy","dem_sat_national","w6","q90"
"democracy","dem_extent_current","w2","q94"
"democracy","dem_extent_current","w3","q90"
"democracy","dem_extent_current","w4","q93"
"democracy","dem_extent_current","w5","q100"
"democracy","dem_extent_current","w6","q91"
"democracy","dem_country_present_govt","w1","q100"
"democracy","dem_country_present_govt","w2","q96"
"democracy","dem_country_present_govt","w3","q91"
"democracy","dem_country_present_govt","w4","q94"
"democracy","dem_country_present_govt","w5","q101"
"democracy","dem_country_present_govt","w6","q92"
"democracy","dem_best_form","w3","q128"
"democracy","dem_best_form","w4","q129"
"democracy","dem_best_form","w5","q136"
"democracy","dem_best_form","w6","q128"
"democracy","dem_vs_econ","w1","q119"
"democracy","dem_vs_econ","w2","q123"
"democracy","dem_vs_econ","w3","q126"
"democracy","dem_vs_econ","w4","q127"
"democracy","dem_vs_econ","w5","q134"
"democracy","dem_vs_econ","w6","q126"
"democracy","dem_suitable_country","w1","q103"
"democracy","dem_suitable_country","w2","q98"
"democracy","dem_suitable_country","w3","q94"
"democracy","dem_suitable_country","w4","q97"
"democracy","dem_suitable_country","w5","q104"
"democracy","dem_suitable_country","w6","q95"
"democracy","dem_free_speech","w2","q110"
"democracy","dem_free_speech","w3","q106"
"democracy","dem_free_speech","w4","q108"
"democracy","dem_free_speech","w5","q115"
"democracy","dem_free_speech","w6","q106"
"democracy","dem_country_past","w3","q92"
"democracy","dem_country_past","w4","q95"
"democracy","dem_country_past","w5","q102"
"democracy","dem_country_past","w6","q93"
"democracy","dem_country_future","w3","q93"
"democracy","dem_country_future","w4","q96"
"democracy","dem_country_future","w5","q103"
"democracy","dem_country_future","w6","q94"
"democracy","dem_country_authoritarian","w1","q099"
"democracy","dem_want_democratic","w1","q101"
"democracy","dem_country_five_years","w1","q102"
"democracy","regime_freespeech_better","w1","q105"
"democracy","regime_influence_better","w1","q107"
"democracy","regime_corruption_better","w1","q108"
"democracy","regime_inequality_better","w1","q109"
"democracy","regime_judiciary_better","w1","q112"
"democracy","dem_power_change_govt","w4","q101"
"democracy","dem_equal_media_access","w4","q102"
"democracy","dem_elections_attention","w4","q116"
"democracy","dem_japan_scale","w4","q123"
"democracy","dem_india_scale","w4","q124"
"democracy","dem_always_preferable","w1","q117"
"democracy","dem_always_preferable","w2","q121"
"democracy","dem_always_preferable","w3","q124"
"democracy","dem_always_preferable","w4","q125"
"democracy","dem_always_preferable","w5","q132"
"democracy","dem_always_preferable","w6","q124"
"democracy","dem_capable_solving","w1","q118"
"democracy","dem_capable_solving","w2","q122"
"democracy","dem_capable_solving","w3","q125"
"democracy","dem_capable_solving","w4","q126"
"democracy","dem_capable_solving","w5","q133"
"democracy","dem_capable_solving","w6","q125"
"democracy","dem_vs_equality","w3","q127"
"democracy","dem_vs_equality","w4","q128"
"democracy","dem_vs_equality","w5","q135"
"democracy","dem_vs_equality","w6","q127"
"demographics","country","w1","country"
"demographics","country","w2","country"
"demographics","country","w3","country"
"demographics","country","w4","country"
"demographics","country","w5","COUNTRY"
"demographics","country","w6","country"
"demographics","idnumber","w1","idnumber"
"demographics","idnumber","w2","idnumber"
"demographics","idnumber","w3","idnumber"
"demographics","idnumber","w4","idnumber"
"demographics","idnumber","w5","IDnumber"
"demographics","idnumber","w6","idnumber"
"demographics","urban_rural","w1","level3"
"demographics","urban_rural","w2","level3"
"demographics","urban_rural","w3","level3"
"demographics","urban_rural","w4","level"
"demographics","urban_rural","w5","Level"
"demographics","urban_rural","w6","LEVEL"
"demographics","gender","w1","se002"
"demographics","gender","w2","se2"
"demographics","gender","w3","se2"
"demographics","gender","w4","se2"
"demographics","gender","w5","SE2"
"demographics","gender","w6","SE2"
"demographics","age","w1","se003a"
"demographics","age","w2","se3a"
"demographics","age","w3","se3a"
"demographics","age","w4","se3_2"
"demographics","age","w5","SE3_1"
"demographics","age","w6","SE3_1"
"demographics","education_level","w1","se005"
"demographics","education_level","w2","se5"
"demographics","education_level","w3","se5"
"demographics","education_level","w4","se5"
"demographics","education_level","w5","SE5"
"demographics","education_level","w6","se5"
"demographics","education_years","w1","se005a"
"demographics","education_years","w2","se5a"
"demographics","education_years","w3","se5a"
"demographics","education_years","w4","se5a"
"demographics","education_years","w5","SE5A"
"demographics","education_years","w6","se5a"
"demographics","employed","w3","se9"
"demographics","employed","w4","se9"
"demographics","employed","w5","SE9"
"demographics","employed","w6","SE9"
"demographics","main_earner","w3","se10"
"demographics","main_earner","w4","se10"
"demographics","main_earner","w5","SE10"
"demographics","main_earner","w6","SE10"
"demographics","hh_income","w2","se9"
"demographics","hh_income","w4","se14"
"demographics","hh_income","w5","SE14"
"demographics","hh_income","w6","SE14"
"demographics","marital_status","w1","se004"
"demographics","marital_status","w2","se4"
"demographics","marital_status","w3","se4"
"demographics","marital_status","w4","se4"
"demographics","marital_status","w5","SE4"
"demographics","marital_status","w6","se4"
"demographics","hh_size","w1","se008a"
"demographics","hh_size","w2","se8a"
"demographics","hh_size","w3","se8a"
"demographics","hh_size","w4","se8a"
"demographics","hh_size","w5","SE8A"
"demographics","hh_size","w6","se8a"
"demographics","hh_generations","w1","se008b"
"demographics","hh_generations","w2","se8b"
"demographics","hh_generations","w3","se8b"
"demographics","hh_generations","w4","se8b"
"demographics","hh_generations","w5","SE8B"
"demographics","hh_generations","w6","se8b"
"demographics","religion","w1","se006"
"demographics","religion","w2","se6"
"demographics","religion","w3","se6"
"demographics","religion","w4","se6"
"demographics","religion","w5","SE6"
"demographics","religion","w6","se6"
"demographics","religiosity_practice","w1","se007"
"demographics","religiosity_practice","w2","se7"
"demographics","religiosity_practice","w3","se7"
"demographics","religiosity_practice","w4","se7"
"demographics","religiosity_practice","w5","SE7"
"demographics","religiosity_practice","w6","se7"
"demographics","religiosity_self","w2","se7a"
"demographics","religiosity_self","w3","se7a"
"demographics","religiosity_self","w4","se7a"
"demographics","religiosity_self","w5","SE7A"
"demographics","religiosity_self","w6","se7a"
"demographics","subjective_social_status","w1","se017"
"demographics","subjective_social_status","w2","se13"
"demographics","subjective_social_status","w3","se12"
"demographics","subjective_social_status","w4","se12"
"demographics","subjective_social_status","w5","SE12"
"demographics","subjective_social_status","w6","se12"
"demographics","employment_type","w3","se9a"
"demographics","employment_type","w4","se9a"
"demographics","employment_type","w5","SE9A"
"demographics","employment_type","w6","se9a"
"demographics","seeking_employment","w3","se9d"
"demographics","seeking_employment","w4","se9d"
"demographics","seeking_employment","w5","SE9D"
"demographics","seeking_employment","w6","se9d"
"demographics","current_status_unemployed","w3","se9e"
"demographics","current_status_unemployed","w4","se9e"
"demographics","current_status_unemployed","w5","SE9E"
"demographics","current_status_unemployed","w6","se9e"
"economic_attitudes","econ_distribution_fair","w4","q155"
"economic_attitudes","econ_distribution_fair","w5","q159"
"economic_attitudes","econ_distribution_fair","w6","q159"
"economic_attitudes","econ_family_income_fair","w4","q159"
"economic_attitudes","econ_family_income_fair","w5","q163"
"economic_attitudes","econ_family_income_fair","w6","q163"
"economic_attitudes","econ_worried_lose_income","w5","q161"
"economic_attitudes","econ_worried_lose_income","w6","q161"
"economic_attitudes","econ_income_loss_severity","w4","q158"
"economic_attitudes","econ_income_loss_severity","w5","q162"
"economic_attitudes","econ_income_loss_severity","w6","q162"
"economic_attitudes","econ_generation_opportunity","w4","q160"
"economic_attitudes","econ_generation_opportunity","w5","q164"
"economic_attitudes","econ_generation_opportunity","w6","q164"
"economic_attitudes","econ_next_generation_life","w5","q165"
"economic_attitudes","econ_next_generation_life","w6","q165"
"economic_attitudes","econ_state_ownership","w1","q140"
"economic_attitudes","econ_central_authority","w1","q141"
"economic_attitudes","econ_env_vs_growth","w4","q154"
"economic_attitudes","econ_govt_reduce_inequality","w4","q156"
"economic_attitudes","econ_income_loss_concern","w4","q157"
"economic_attitudes","econ_family_income_fair_6pt","w4","q159a"
"economy","econ_national_now","w1","q001"
"economy","econ_national_now","w2","q1"
"economy","econ_national_now","w3","q1"
"economy","econ_national_now","w4","q1"
"economy","econ_national_now","w5","q1"
"economy","econ_national_now","w6","q1"
"economy","econ_change_1yr","w1","q002"
"economy","econ_change_1yr","w2","q2"
"economy","econ_change_1yr","w3","q2"
"economy","econ_change_1yr","w4","q2"
"economy","econ_change_1yr","w5","q2"
"economy","econ_change_1yr","w6","q2"
"economy","econ_outlook_1yr","w1","q003"
"economy","econ_outlook_1yr","w2","q3"
"economy","econ_outlook_1yr","w3","q3"
"economy","econ_outlook_1yr","w4","q3"
"economy","econ_outlook_1yr","w5","q3"
"economy","econ_outlook_1yr","w6","q3"
"economy","econ_family_now","w1","q004"
"economy","econ_family_now","w2","q4"
"economy","econ_family_now","w3","q4"
"economy","econ_family_now","w4","q4"
"economy","econ_family_now","w5","q4"
"economy","econ_family_now","w6","q4"
"economy","econ_family_change","w1","q005"
"economy","econ_family_change","w2","q5"
"economy","econ_family_change","w3","q5"
"economy","econ_family_change","w4","q5"
"economy","econ_family_change","w5","q5"
"economy","econ_family_change","w6","q5"
"economy","econ_family_outlook","w1","q006"
"economy","econ_family_outlook","w2","q6"
"economy","econ_family_outlook","w3","q6"
"economy","econ_family_outlook","w4","q6"
"economy","econ_family_outlook","w5","q6"
"economy","econ_family_outlook","w6","q6"
"electoral_mobilization","mob_asked_family","w1","q032"
"electoral_mobilization","mob_asked_clan_seniors","w1","q033"
"electoral_mobilization","mob_asked_neighbor_friend","w1","q034"
"electoral_mobilization","mob_asked_community_leader","w1","q035"
"electoral_mobilization","mob_asked_work_superior","w1","q036"
"electoral_mobilization","mob_asked_employer","w1","q037"
"electoral_mobilization","mob_asked_org_official","w1","q038"
"electoral_mobilization","mob_asked_govt_known","w1","q039"
"electoral_mobilization","mob_asked_govt_unknown","w1","q040"
"electoral_mobilization","mob_asked_party_known","w1","q041"
"electoral_mobilization","mob_asked_party_unknown","w1","q042"
"electoral_mobilization","mob_asked_other","w1","q043"
"electoral_mobilization","mob_influence_family","w1","q044"
"electoral_mobilization","mob_influence_clan_seniors","w1","q045"
"electoral_mobilization","mob_influence_neighbor_friend","w1","q046"
"electoral_mobilization","mob_influence_community_leader","w1","q047"
"electoral_mobilization","mob_influence_work_superior","w1","q048"
"electoral_mobilization","mob_influence_employer","w1","q049"
"electoral_mobilization","mob_influence_org_official","w1","q050"
"electoral_mobilization","mob_influence_govt_known","w1","q051"
"electoral_mobilization","mob_influence_govt_unknown","w1","q052"
"electoral_mobilization","mob_influence_party_known","w1","q053"
"electoral_mobilization","mob_influence_party_unknown","w1","q054"
"electoral_mobilization","mob_influence_other","w1","q055"
"globalization","glob_cultural_defense","w1","q142"
"globalization","glob_cultural_defense","w2","q144"
"globalization","glob_cultural_defense","w3","q151"
"globalization","glob_cultural_defense","w4","q151"
"globalization","glob_cultural_defense","w5","q156"
"globalization","glob_cultural_defense","w6","q156"
"globalization","glob_trade_protection","w2","q146"
"globalization","glob_trade_protection","w3","q152"
"globalization","glob_trade_protection","w4","q152"
"globalization","glob_trade_protection","w5","q157"
"globalization","glob_trade_protection","w6","q157"
"globalization","glob_immigration_policy","w4","q153"
"globalization","glob_immigration_policy","w5","q158"
"globalization","glob_immigration_policy","w6","q158"
"globalization","glob_cultural_defense_intensity","w5","q156a"
"globalization","glob_trade_protection_intensity","w5","q157a"
"governance_performance","people_have_necessities","w2","q109"
"governance_performance","people_have_necessities","w3","q105"
"governance_performance","people_have_necessities","w4","q107"
"governance_performance","people_have_necessities","w5","q114"
"governance_performance","people_have_necessities","w6","q105"
"governance_performance","rich_poor_treated_equally","w3","q104"
"governance_performance","rich_poor_treated_equally","w4","q106"
"governance_performance","rich_poor_treated_equally","w5","q113"
"governance_performance","rich_poor_treated_equally","w6","q104"
"governance_performance","people_power_change_govt","w2","q103"
"governance_performance","people_power_change_govt","w4","q101"
"governance_performance","no_accountability_between_elections","w2","q106"
"governance_performance","no_accountability_between_elections","w3","q100"
"governance_performance","no_accountability_between_elections","w4","q103"
"governance_performance","no_accountability_between_elections","w5","q110"
"governance_performance","no_accountability_between_elections","w6","q101"
"governance_performance","elections_make_govt_responsive","w5","q122"
"governance_performance","elections_make_govt_responsive","w6","q113"
"governance_performance","govt_should_censor_ideas","w1","q134"
"governance_performance","govt_should_censor_ideas","w2","q135"
"governance_performance","govt_should_censor_ideas","w3","q142"
"governance_performance","govt_should_censor_ideas","w4","q143"
"governance_performance","govt_should_censor_ideas","w5","q150"
"governance_performance","govt_should_censor_ideas","w6","q150"
"governance","gov_remove_through_elections","w5","q108"
"governance","gov_remove_through_elections","w6","q99"
"governance","gov_opposition_opportunities","w5","q109"
"governance","gov_opposition_opportunities","w6","q100"
"governance","gov_no_accountability_between_elections","w2","q106"
"governance","gov_no_accountability_between_elections","w3","q100"
"governance","gov_no_accountability_between_elections","w4","q103"
"governance","gov_no_accountability_between_elections","w5","q110"
"governance","gov_no_accountability_between_elections","w6","q101"
"governance","gov_courts_powerless","w3","q101"
"governance","gov_courts_powerless","w4","q104"
"governance","gov_courts_powerless","w5","q111"
"governance","gov_courts_powerless","w6","q102"
"governance","gov_ethnic_equality","w3","q103"
"governance","gov_ethnic_equality","w4","q105"
"governance","gov_ethnic_equality","w5","q112"
"governance","gov_ethnic_equality","w6","q103"
"governance","gov_economic_equality","w1","q106"
"governance","gov_economic_equality","w2","q108"
"governance","gov_economic_equality","w3","q104"
"governance","gov_economic_equality","w4","q106"
"governance","gov_economic_equality","w5","q113"
"governance","gov_economic_equality","w6","q104"
"governance","gov_basic_necessities","w2","q109"
"governance","gov_basic_necessities","w3","q105"
"governance","gov_basic_necessities","w4","q107"
"governance","gov_basic_necessities","w5","q114"
"governance","gov_basic_necessities","w6","q105"
"governance","gov_free_to_organize","w1","q113"
"governance","gov_free_to_organize","w2","q111"
"governance","gov_free_to_organize","w3","q107"
"governance","gov_free_to_organize","w4","q109"
"governance","gov_free_to_organize","w5","q116"
"governance","gov_free_to_organize","w6","q107"
"governance","gov_leaders_abuse_power","w3","q110"
"governance","gov_leaders_abuse_power","w4","q112"
"governance","gov_leaders_abuse_power","w5","q118"
"governance","gov_leaders_abuse_power","w6","q109"
"governance","gov_elections_real_choice","w2","q114"
"governance","gov_elections_real_choice","w3","q111"
"governance","gov_elections_real_choice","w4","q113"
"governance","gov_elections_real_choice","w5","q119"
"governance","gov_elections_real_choice","w6","q110"
"governance","gov_legislature_oversight","w2","q115"
"governance","gov_legislature_oversight","w3","q112"
"governance","gov_legislature_oversight","w4","q114"
"governance","gov_legislature_oversight","w5","q120"
"governance","gov_legislature_oversight","w6","q111"
"governance","gov_elections_make_responsive","w5","q122"
"governance","gov_elections_make_responsive","w6","q113"
"governance","gov_enforce_laws","w5","q123"
"governance","gov_enforce_laws","w6","q114"
"governance","problem_most_important","w3","q96"
"governance","problem_most_important","w4","q99"
"governance","problem_most_important","w5","q106"
"governance","problem_most_important","w6","q97"
"governance","problem_govt_will_solve","w2","q102a"
"governance","problem_govt_will_solve","w3","q97"
"governance","problem_govt_will_solve","w4","q100"
"governance","problem_govt_will_solve","w5","q107"
"governance","problem_govt_will_solve","w6","q98"
"institutional_trust","trust_president","w2","q7"
"institutional_trust","trust_president","w3","q7"
"institutional_trust","trust_president","w4","q7"
"institutional_trust","trust_president","w5","q7"
"institutional_trust","trust_president","w6","q7"
"institutional_trust","trust_courts","w1","q007"
"institutional_trust","trust_courts","w2","q8"
"institutional_trust","trust_courts","w3","q8"
"institutional_trust","trust_courts","w4","q8"
"institutional_trust","trust_courts","w5","q8"
"institutional_trust","trust_courts","w6","q8"
"institutional_trust","trust_national_government","w1","q008"
"institutional_trust","trust_national_government","w2","q9"
"institutional_trust","trust_national_government","w3","q9"
"institutional_trust","trust_national_government","w4","q9"
"institutional_trust","trust_national_government","w5","q9"
"institutional_trust","trust_national_government","w6","q9"
"institutional_trust","trust_political_parties","w1","q009"
"institutional_trust","trust_political_parties","w2","q10"
"institutional_trust","trust_political_parties","w3","q10"
"institutional_trust","trust_political_parties","w4","q10"
"institutional_trust","trust_political_parties","w5","q10"
"institutional_trust","trust_political_parties","w6","q10"
"institutional_trust","trust_parliament","w1","q010"
"institutional_trust","trust_parliament","w2","q11"
"institutional_trust","trust_parliament","w3","q11"
"institutional_trust","trust_parliament","w4","q11"
"institutional_trust","trust_parliament","w5","q11"
"institutional_trust","trust_parliament","w6","q11"
"institutional_trust","trust_civil_service","w1","q011"
"institutional_trust","trust_civil_service","w2","q12"
"institutional_trust","trust_civil_service","w3","q12"
"institutional_trust","trust_civil_service","w4","q12"
"institutional_trust","trust_civil_service","w5","q12"
"institutional_trust","trust_civil_service","w6","q12"
"institutional_trust","trust_military","w1","q012"
"institutional_trust","trust_military","w2","q13"
"institutional_trust","trust_military","w3","q13"
"institutional_trust","trust_military","w4","q13"
"institutional_trust","trust_military","w5","q13"
"institutional_trust","trust_military","w6","q13"
"institutional_trust","trust_police","w1","q013"
"institutional_trust","trust_police","w2","q14"
"institutional_trust","trust_police","w3","q14"
"institutional_trust","trust_police","w4","q14"
"institutional_trust","trust_police","w5","q14"
"institutional_trust","trust_police","w6","q14"
"institutional_trust","trust_local_government","w1","q014"
"institutional_trust","trust_local_government","w2","q15"
"institutional_trust","trust_local_government","w3","q15"
"institutional_trust","trust_local_government","w4","q15"
"institutional_trust","trust_local_government","w5","q15"
"institutional_trust","trust_local_government","w6","q15"
"institutional_trust","trust_newspapers","w1","q015"
"institutional_trust","trust_newspapers","w2","q16"
"institutional_trust","trust_newspapers","w3","q16"
"institutional_trust","trust_newspapers","w4","q16"
"institutional_trust","trust_newspapers","w5","q54"
"institutional_trust","trust_newspapers","w6","q16"
"institutional_trust","trust_television","w1","q016"
"institutional_trust","trust_television","w2","q17"
"institutional_trust","trust_television","w3","q17"
"institutional_trust","trust_television","w4","q17"
"institutional_trust","trust_television","w5","q53"
"institutional_trust","trust_television","w6","q17"
"institutional_trust","trust_election_commission","w1","q017"
"institutional_trust","trust_election_commission","w2","q18"
"institutional_trust","trust_election_commission","w3","q18"
"institutional_trust","trust_election_commission","w4","q18"
"institutional_trust","trust_election_commission","w5","q16"
"institutional_trust","trust_election_commission","w6","q18"
"institutional_trust","trust_ngos","w1","q018"
"institutional_trust","trust_ngos","w2","q19"
"institutional_trust","trust_ngos","w3","q19"
"institutional_trust","trust_ngos","w4","q19"
"institutional_trust","trust_ngos","w5","q17"
"institutional_trust","trust_ngos","w6","q19"
"international_relations","intl_most_influence_asia","w3","q156"
"international_relations","intl_most_influence_asia","w4","q163"
"international_relations","intl_most_influence_asia","w5","q174"
"international_relations","intl_most_influence_asia","w6","q173"
"international_relations","intl_future_influence_asia","w3","q158"
"international_relations","intl_future_influence_asia","w4","q166"
"international_relations","intl_future_influence_asia","w5","q179"
"international_relations","intl_future_influence_asia","w6","q179"
"international_relations","intl_development_model","w3","q159"
"international_relations","intl_development_model","w4","q167"
"international_relations","intl_development_model","w5","q180"
"international_relations","intl_development_model","w6","q180"
"international_relations","intl_usa_asia_goodharm","w4","q164"
"international_relations","intl_usa_asia_goodharm","w5","q175"
"international_relations","intl_usa_asia_goodharm","w6","q174"
"international_relations","intl_usa_world_influence","w5","q176"
"international_relations","intl_usa_world_influence","w6","q175"
"international_relations","intl_usa_country_influence_amount","w5","q183"
"international_relations","intl_usa_country_influence_amount","w6","q183"
"international_relations","intl_usa_country_influence_valence","w5","q184"
"international_relations","intl_usa_country_influence_valence","w6","q184"
"international_relations","intl_china_asia_goodharm","w3","q157a"
"international_relations","intl_china_asia_goodharm","w4","q165"
"international_relations","intl_china_asia_goodharm","w5","q177"
"international_relations","intl_china_asia_goodharm","w6","q176"
"international_relations","intl_china_world_influence","w5","q178"
"international_relations","intl_china_world_influence","w6","q177"
"international_relations","intl_china_country_influence_amount","w5","q181"
"international_relations","intl_china_country_influence_amount","w6","q181"
"international_relations","intl_china_country_influence_valence","w5","q182"
"international_relations","intl_china_country_influence_valence","w6","q182"
"international_relations","intl_eu_world_influence","w6","q178"
"international_relations","intl_close_to_asean","w4","q172"
"international_relations","intl_close_to_asean","w5","q186"
"international_relations","intl_close_to_asean","w6","q186"
"international_relations","intl_follow_foreign_events","w4","q150"
"international_relations","intl_china_country_influence_amount_w4","w4","q168"
"international_relations","intl_china_country_influence_valence_w4","w4","q169"
"international_relations","intl_usa_country_influence_amount_w4","w4","q170"
