"concept","target_id","w1","w2","w3","w4","w5","w6","w7","w8","w9","coding","notes"
"demographics","hh_size","w01hhsize","w02hhsize","w03hhsize","w04hhsize","w05hhsize","w06hhsize","w07hhsize","w08hhsize","w09hhsize","identity, integer count","w0Nhhsize ('The number of household [member]'), present + stable across all 9 waves."
"demographics","home_owner","w01F001","w02F001","w03F001","w04F001","w05F001","w06F001","w07F001","w08F001","w09F001","1=Own home -> recode 1; 2=Jeonse(deposit-based rental),3=Jeonse+monthly,4=Monthly rental,5=Others -> recode 0","w0NF001 ('The type of currently residing home'), present + stable across all 9 waves at the SAME position (unlike most other F-block totals). A related but distinct item, w0NF004 ('Whether or not the residing home under R's name'), asks about deed-holder identity rather than tenure type -- not used as primary; noted as a secondary candidate if the paper wants a finer 'owns outright vs joint vs other-name' distinction."
"participation","part_religious","w01A017m01","w02A033m01","w03A033m01","w04A033m01","w05A033m01","w06A033m01","w07A033m01","w08A033m01","w09A033m01","0=No, 1=Yes","W1 = w01A017m01 (NOT w01A033m01 -- A033 family is ABSENT in W1 entirely). W2-W9 = w0NA033m01. Coding confirmed identical (0/1) in both families."
"participation","part_social_club","w01A017m02","w02A033m02","w03A033m02","w04A033m02","w05A033m02","w06A033m02","w07A033m02","w08A033m02","w09A033m02","0=No, 1=Yes","W1 = w01A017m02; W2-W9 = w0NA033m02. Same W1 renumbering as part_religious."
"participation","part_leisure","w01A017m03","w02A033m03","w03A033m03","w04A033m03","w05A033m03","w06A033m03","w07A033m03","w08A033m03","w09A033m03","0=No, 1=Yes","W1 = w01A017m03; W2-W9 = w0NA033m03. Same W1 renumbering."
"participation","part_alumni","w01A017m04","w02A033m04","w03A033m04","w04A033m04","w05A033m04","w06A033m04","w07A033m04","w08A033m04","w09A033m04","0=No, 1=Yes","W1 = w01A017m04; W2-W9 = w0NA033m04. Same W1 renumbering."
"participation","part_volunteer","w01A017m05","w02A033m05","w03A033m05","w04A033m05","w05A033m05","w06A033m05","w07A033m05","w08A033m05","w09A033m05","0=No, 1=Yes","W1 = w01A017m05; W2-W9 = w0NA033m05. Same W1 renumbering."
"participation","part_civic","w01A017m06","w02A033m06","w03A033m06","w04A033m06","w05A033m06","w06A033m06","w07A033m06","w08A033m06","w09A033m06","0=No, 1=Yes","W1 = w01A017m06 ('Participating to the Political parties, the NGOs, the interest groups'); W2-W9 = w0NA033m06. THE 'buy a citizen' outcome. Correction to design-spec anchor: exists in W1, just under a different item number -- NOT absent as one might assume from a naive w01A033m06 lookup."
"participation","part_none","w01A017m08","w02A033m08","w03A033m08","w04A033m08","w05A033m08","w06A033m08","w07A033m08","w08A033m08","w09A033m08","0=No, 1=Yes","W1 = w01A017m08; W2-W9 = w0NA033m08."
"participation","partfreq_civic","w01A019_06","w02A035_06","w03A035_06","w04A035_06","w05A035_06","w06A035_06","w07A035_06","w08A035_06","w09A035_06","-9=DK,-8=Refuse,1=Almost every day...10=Almost never engaged (10-pt DECLINING-frequency ordinal: LOW code = MORE frequent)","W1 = w01A019_06; W2-W9 = w0NA035_06. Direction warning: this is not a simple linear frequency count -- code 1 is the MOST frequent, code 10 is 'almost never engaged'. Reverse before treating as an increasing-frequency scale."
"participation","partfreq_religious","w01A019_01","w02A035_01","w03A035_01","w04A035_01","w05A035_01","w06A035_01","w07A035_01","w08A035_01","w09A035_01","same 10-pt declining-frequency scale as partfreq_civic","W1 = w01A019_01; W2-W9 = w0NA035_01."
"participation","partfreq_social_club","w01A019_02","w02A035_02","w03A035_02","w04A035_02","w05A035_02","w06A035_02","w07A035_02","w08A035_02","w09A035_02","same 10-pt declining-frequency scale as partfreq_civic","W1 = w01A019_02; W2-W9 = w0NA035_02."
"participation","partfreq_leisure","w01A019_03","w02A035_03","w03A035_03","w04A035_03","w05A035_03","w06A035_03","w07A035_03","w08A035_03","w09A035_03","same 10-pt declining-frequency scale as partfreq_civic","W1 = w01A019_03; W2-W9 = w0NA035_03."
"participation","partfreq_alumni","w01A019_04","w02A035_04","w03A035_04","w04A035_04","w05A035_04","w06A035_04","w07A035_04","w08A035_04","w09A035_04","same 10-pt declining-frequency scale as partfreq_civic","W1 = w01A019_04; W2-W9 = w0NA035_04."
"participation","partfreq_volunteer","w01A019_05","w02A035_05","w03A035_05","w04A035_05","w05A035_05","w06A035_05","w07A035_05","w08A035_05","w09A035_05","same 10-pt declining-frequency scale as partfreq_civic","W1 = w01A019_05; W2-W9 = w0NA035_05."
"pension_basic","basic_pension_receipt","null","null","null","null","w05E111","w06E111","w07E111","w08E111","w09E111","E111: -9=DK,-8=Refuse,1=Check (else NA -- checkbox-style, NOT an explicit 0=No code)","DESIGN-INTENDED per the module-relocation story: absent W1-W4, w0NE111 W5-W9. CRITICAL UNRESOLVED FINDING: legacy w0NG111 ('Receipt of the Basic Old-Age Pension Benefit', categorical 1=currently receiving/3=will receive/5=not entitled) is NOT dead in W5-W9 as the design spec assumed -- real-data check shows it stays substantially populated (41-53% non-NA, W5=2,880 to W9=3,239 non-NA), comparable to or exceeding E111's coverage (E5=2,393 to W9=2,917). E111 itself is a 'checkbox' item: value 1='Check' is always paired 1:1 with non-NA E112 (months) and E113 (amount); rows where E111 is NA have E112/E113 also 100% NA (consistent with 'blank = did not receive', but this is an INFERENCE, not an explicit code -- true item-nonresponse is indistinguishable from a genuine 'no' under this pattern). G111 and E111 receipt COUNTS are in the same ballpark per wave (e.g. W9: G111=1 count 3,074 vs E111=1 count 2,917) suggesting they track the same underlying construct via two different questionnaire modules, not two different benefits. Task 6 MUST cross-tab G111 vs E111 agreement (where both non-missing) before choosing one as the authoritative source for W5-W9; this is the single highest-stakes ambiguity in the whole discovery pass since it is the paper's treatment variable."
"pension_basic","basic_pension_receipt_LEGACY_G","null","w02G111","w03G111","w04G111","w05G111","w06G111","w07G111","w08G111","w09G111","G111: -9=DK[-8=Refuse from W3],1=Yes currently receiving,3=No but will receive at pension age,5=No not entitled","Secondary/legacy candidate for the SAME concept, recorded because it survives (and is well-populated) through W9 -- see the critical note on basic_pension_receipt above. If Task 6 concludes G111 is more reliable post-2014, this is its resolved source. Absent in W1."
"pension_basic","basic_pension_amount","null","null","null","null","w05E113","w06E113","w07E113","w08E113","w09E113","E113: 10,000-KRW units, monthly average; -9=DK,-8=Refuse","Design-intended: absent W1-W4, w0NE113 W5-W9 (paired with E111 above). W5 real-data median ~= 9 (10k-won units, i.e. ~90,000 KRW/month); rises to median ~25 by W9 (consistent with benefit expansion + inflation)."
"pension_basic","basic_pension_amount_LEGACY_G","null","w02G112","w03G112","w04G112","w05G112","w06G112","w07G112","w08G112","w09G112","G112: 10,000-KRW units, monthly average; -9=DK[-8=Refuse from W3]","Legacy counterpart to basic_pension_amount, absent W1, present W2-W9 (same persistence issue as G111)."
"pension_basic","basic_pension_couple","null","w02G113","w03G113","w04G113","w05G113","w06G113","w07G113","w08G113","w09G113","1=Provided to the individual, 5=Provided to the couple","w0NG113, present W2-W9 (absent W1). NOTE: unlike receipt/amount, this item was NOT found relocated to the E-block -- no E-equivalent 'self or couple' flag was located in this pass. If the paper needs this for the W5-W9 E111-based receipt, that gap is UNRESOLVED (only the legacy G-block carries it)."
"pension_other","natl_pension_receipt","w01E033","w02E033","w03E033","w04E033","w05E033","w06E033","w07E033","w08E033","w09E033","1=Only monthly benefits,2=Only lump-sum,3=Received both,4=No (4-category, NOT simple binary); -9=DK,-8=Refuse","w0NE033, present + stably coded across all 9 waves. Recode to binary 'received any' = {1,2,3}->1, 4->0 if a simple confound flag is wanted."
"pension_other","natl_pension_amount","w01E035","w02E035","w03E035","w04E035","w05E035","w06E035","w07E035","w08E035","w09E035","identity, 10,000-KRW units, monthly average; -9=DK,-8=Refuse","w0NE035, present + stable across all 9 waves."
"income_assets","hh_income_total","w01E126","w02E126","w03E126","w04E126","w05E147","w06E147","w07E147","w08E147","w09E147","identity, 10,000-KRW units, annual total","THIRD relocation instance (after G->E pension and A001->A002 age): W1-W4 = w0NE126; W5-W9 = w0NE147. Real-data median check confirms same units/order of magnitude across the boundary (W4 E126 median=2,000; W5 E147 median=2,000) -- low-risk relocation, unlike the pension G111/E111 case."
"income_assets","assets_realestate","w01F058","w02F058","w03F058","w04F058","w05F058","w06F058","w07F058","w08F058","w09F058","identity, 10,000-KRW units","w0NF058 ('The total amount of real estate'), present + stable across all 9 waves at the same position."
"income_assets","assets_financial","null","null","null","null","null","null","null","null","null","NOT RESOLVED","No raw variable named/labeled as a 'total financial assets' summary was located in any wave. The F-block has a household-asset total (w0NF234, = real estate + financial + other, net of debt, presumably) and a real-estate total (w0NF058, resolved above), but the financial-only total must be DERIVED -- either (a) F234 minus F058 (approximation, includes 'other non-financial assets' contamination), or (b) sum the individual components: cash/checking (F095), time deposits (F102), stocks/funds (F109), bonds (F116), private savings club/gye (F146), other financial assets (F160). Left null per instructions rather than inventing a name; Task 7 must pick a derivation."
"health","srh","w01C001","w02C001","w03C001","w04C001","w05C001","w06C001","w07C001","w08C001","w09C001","1=best...5=worst ordinal, but ANCHOR WORDING CHANGES at W3","w0NC001 ('Respondent's (principal) subjective health'), present + stable POSITION across all 9 waves, but the response-category WORDING differs: W1-W2 = 1=Very good,2=Good,3=Fair,4=Bad,5=Very bad (no 'Excellent' category); W3-W9 = 1=Excellent,2=Very good,3=Good,4=Fair,5=Poor (adds 'Excellent' as a new top category, pushing 'Very good' to position 2). Ordinal direction (1=best,5=worst) is consistent throughout, so identity harmonization is safe for a monotonic treatment, but the reference-point shift at W3 is a genuine instrument-stability finding for the audit task -- W1/W2 respondents never had the 'Excellent' option available."
"health","adl_limit","null","null","null","null","null","null","null","null","null","NOT a single raw var -- component battery only","No single ADL summary variable exists. Raw component battery C201-C208 (Dressing, Washing face/hair/brushing, Bathing/showering, Eating, Getting in/out bed+walking, Using toilet, Using toilet without spilling, Grooming) is present with STABLE variable numbers (C201-C208) across all 9 waves; coding is non-linear: 1=No help needed, 3=Need help to some extent, 5=Need help in every respect (NOT 1/2/3). Task 7 must derive a summary (e.g. count of items >=3, or a binary any-limitation flag), following the same method:derive pattern already used for participation_count in the plan."
"health","iadl_limit","null","null","null","null","null","null","null","null","null","NOT a single raw var -- component battery only","No single IADL summary variable exists. Raw component battery C209-C217 (Household chores, Preparing meals, Laundry, Near-distance going out, Going out using transportation, Shopping, Managing money, Making/taking a call, Taking medications) is present with STABLE variable numbers (C209-C217) across all 9 waves; same 1/3/5 coding as adl_limit. Requires the same derive treatment."
"work","work_status","w01D001","w02D001","w03D001","w04D001","w05D001","w06D001","w07D001","w08D001","w09D001","1=Yes(currently working), 5=No; -9=DK,-8=Refuse","w0ND001 ('Currently work'), present + stable across all 9 waves -- the cleanest single binary proxy. A finer categorical breakdown is available conditional on D001=Yes via w0ND002 ('Main job': 1=wage employed,2=self-employed,3=unpaid family >=18h/wk,4=unpaid family <18h/wk), also present all 9 waves -- recorded as a secondary/finer option for Task 7. Two label-similar variables were investigated and REJECTED as work_status candidates: w0ND006 ('current employment status in the job market') is a job-seeking-WILLINGNESS ladder, not a status classification, AND its own category structure differs between W1 (simple Yes/No 'possibility to start working') and W2-W9 (a 5-7-category willingness scale) -- not a stable construct across waves. w0ND009 ('(Answer modification) In the previous interview, the employment status') is a carry-forward RECHECK item referring to the prior wave's status, is ABSENT in W5, and is not the current-wave status."
