country,code,wave,party_name,party_lineage,coalition
Thailand,801,W3,Prajadhipat,Democrat Party,anti_thaksin
Thailand,801,W4,Democrat Party,Democrat Party,anti_thaksin
Thailand,801,W5,Democrat Party,Democrat Party,anti_thaksin
Thailand,801,W6,Democrat Party,Democrat Party,anti_thaksin
Thailand,802,W2,Thai Rak Thai,Pro-Thaksin,pro_thaksin
Thailand,802,W3,Thai Rak Thai,Pro-Thaksin,pro_thaksin
Thailand,802,W4,Pheu Thai Party,Pro-Thaksin,pro_thaksin
Thailand,802,W5,Pheu Thai Party,Pro-Thaksin,pro_thaksin
Thailand,802,W6,Pheu Thai Party,Pro-Thaksin,pro_thaksin
Thailand,803,W2,Chart Thai,Chart Thai,other
Thailand,803,W3,Chart Thai,Chart Thai,other
Thailand,803,W4,Phumjai Thai Party,Bhumjaithai,other
Thailand,803,W5,Pracharat Party,Pro-Military,pro_military
Thailand,803,W6,Palang Pracharath Party,Pro-Military,pro_military
Thailand,804,W2,Mahachon,Mahachon,other
Thailand,804,W3,Mahachon,Mahachon,other
Thailand,804,W4,Chart Thai Pattana,Chart Thai Pattana,other
Thailand,804,W5,Future Forward Party,Progressive opposition,progressive
Thailand,804,W6,Move Forward Party,Progressive opposition,progressive
Thailand,805,W2,Other Party,NA,other
Thailand,805,W3,Other Party,NA,other
Thailand,805,W4,Pheu Pandin Party,Pheu Pandin,pro_thaksin
Thailand,805,W5,Bhumjaithai Party,Bhumjaithai,other
Thailand,805,W6,Chartthaipattana Party,Chart Thai Pattana,other
Thailand,806,W3,Pheu Thai,Pro-Thaksin,pro_thaksin
Thailand,806,W5,Puea Pandin Party,Pheu Pandin,other
Thailand,806,W6,Thai Liberal Party,Thai Liberal Party,other
Thailand,807,W3,Bhumjai Thai,Bhumjaithai,other
Thailand,808,W3,Chart Thai Pattana,Chart Thai Pattana,other
Thailand,809,W3,Pua Paendin,Pheu Pandin,other
Thailand,899,W5,Others,NA,other
