"source","wave","country","variable","question","value","n"
"harmonized",2,8,"trust_neighbors","q25",2,354
"harmonized",2,8,"trust_neighbors","q25",3,775
"harmonized",2,8,"trust_neighbors","q25",4,360
"raw",2,8,"trust_neighbors","q25",1,35
"raw",2,8,"trust_neighbors","q25",2,354
"raw",2,8,"trust_neighbors","q25",3,775
"raw",2,8,"trust_neighbors","q25",4,360
"harmonized",2,9,"trust_neighbors","q25",1,18
"harmonized",2,9,"trust_neighbors","q25",2,331
"harmonized",2,9,"trust_neighbors","q25",3,1036
"harmonized",2,9,"trust_neighbors","q25",4,211
"raw",2,9,"trust_neighbors","q25",1,18
"raw",2,9,"trust_neighbors","q25",2,331
"raw",2,9,"trust_neighbors","q25",3,1036
"raw",2,9,"trust_neighbors","q25",4,211
"harmonized",2,10,"trust_neighbors","q25",1,19
"harmonized",2,10,"trust_neighbors","q25",2,201
"harmonized",2,10,"trust_neighbors","q25",3,654
"harmonized",2,10,"trust_neighbors","q25",4,117
"raw",2,10,"trust_neighbors","q25",1,19
"raw",2,10,"trust_neighbors","q25",2,201
"raw",2,10,"trust_neighbors","q25",3,654
"raw",2,10,"trust_neighbors","q25",4,117
"harmonized",2,11,"trust_neighbors","q25",1,421
"harmonized",2,11,"trust_neighbors","q25",2,617
"harmonized",2,11,"trust_neighbors","q25",3,136
"harmonized",2,11,"trust_neighbors","q25",4,4
"raw",2,11,"trust_neighbors","q25",1,421
"raw",2,11,"trust_neighbors","q25",2,617
"raw",2,11,"trust_neighbors","q25",3,136
"raw",2,11,"trust_neighbors","q25",4,4
"harmonized",2,12,"trust_neighbors","q25",1,90
"harmonized",2,12,"trust_neighbors","q25",2,253
"harmonized",2,12,"trust_neighbors","q25",3,532
"harmonized",2,12,"trust_neighbors","q25",4,123
"raw",2,12,"trust_neighbors","q25",1,90
"raw",2,12,"trust_neighbors","q25",2,253
"raw",2,12,"trust_neighbors","q25",3,532
"raw",2,12,"trust_neighbors","q25",4,123
"harmonized",2,13,"trust_neighbors","q25",1,30
"harmonized",2,13,"trust_neighbors","q25",2,356
"harmonized",2,13,"trust_neighbors","q25",3,667
"harmonized",2,13,"trust_neighbors","q25",4,138
"raw",2,13,"trust_neighbors","q25",1,30
"raw",2,13,"trust_neighbors","q25",2,356
"raw",2,13,"trust_neighbors","q25",3,667
"raw",2,13,"trust_neighbors","q25",4,138
"harmonized",3,1,"trust_neighbors","q26",1,30
"harmonized",3,1,"trust_neighbors","q26",2,414
"harmonized",3,1,"trust_neighbors","q26",3,1194
"harmonized",3,1,"trust_neighbors","q26",4,218
"raw",3,1,"trust_neighbors","q26",1,218
"raw",3,1,"trust_neighbors","q26",2,1194
"raw",3,1,"trust_neighbors","q26",3,414
"raw",3,1,"trust_neighbors","q26",4,30
"harmonized",3,2,"trust_neighbors","q26",1,21
"harmonized",3,2,"trust_neighbors","q26",2,237
"harmonized",3,2,"trust_neighbors","q26",3,762
"harmonized",3,2,"trust_neighbors","q26",4,42
"raw",3,2,"trust_neighbors","q26",1,42
"raw",3,2,"trust_neighbors","q26",2,762
"raw",3,2,"trust_neighbors","q26",3,237
"raw",3,2,"trust_neighbors","q26",4,21
"harmonized",3,3,"trust_neighbors","q26",1,22
"harmonized",3,3,"trust_neighbors","q26",2,277
"harmonized",3,3,"trust_neighbors","q26",3,798
"harmonized",3,3,"trust_neighbors","q26",4,105
"raw",3,3,"trust_neighbors","q26",1,105
"raw",3,3,"trust_neighbors","q26",2,798
"raw",3,3,"trust_neighbors","q26",3,277
"raw",3,3,"trust_neighbors","q26",4,22
"harmonized",3,4,"trust_neighbors","q26",1,14
"harmonized",3,4,"trust_neighbors","q26",2,342
"harmonized",3,4,"trust_neighbors","q26",3,2692
"harmonized",3,4,"trust_neighbors","q26",4,353
"raw",3,4,"trust_neighbors","q26",1,353
"raw",3,4,"trust_neighbors","q26",2,2692
"raw",3,4,"trust_neighbors","q26",3,342
"raw",3,4,"trust_neighbors","q26",4,14
"harmonized",3,5,"trust_neighbors","q26",1,73
"harmonized",3,5,"trust_neighbors","q26",2,340
"harmonized",3,5,"trust_neighbors","q26",3,601
"harmonized",3,5,"trust_neighbors","q26",4,187
"raw",3,5,"trust_neighbors","q26",1,187
"raw",3,5,"trust_neighbors","q26",2,601
"raw",3,5,"trust_neighbors","q26",3,340
"raw",3,5,"trust_neighbors","q26",4,73
"harmonized",3,6,"trust_neighbors","q26",1,70
"harmonized",3,6,"trust_neighbors","q26",2,371
"harmonized",3,6,"trust_neighbors","q26",3,505
"harmonized",3,6,"trust_neighbors","q26",4,246
"raw",3,6,"trust_neighbors","q26",1,246
"raw",3,6,"trust_neighbors","q26",2,505
"raw",3,6,"trust_neighbors","q26",3,371
"raw",3,6,"trust_neighbors","q26",4,70
"harmonized",3,7,"trust_neighbors","q26",1,30
"harmonized",3,7,"trust_neighbors","q26",2,388
"harmonized",3,7,"trust_neighbors","q26",3,920
"harmonized",3,7,"trust_neighbors","q26",4,189
"raw",3,7,"trust_neighbors","q26",1,189
"raw",3,7,"trust_neighbors","q26",2,920
"raw",3,7,"trust_neighbors","q26",3,388
"raw",3,7,"trust_neighbors","q26",4,30
"harmonized",3,8,"trust_neighbors","q26",1,35
"harmonized",3,8,"trust_neighbors","q26",2,240
"harmonized",3,8,"trust_neighbors","q26",3,849
"harmonized",3,8,"trust_neighbors","q26",4,354
"raw",3,8,"trust_neighbors","q26",1,354
"raw",3,8,"trust_neighbors","q26",2,849
"raw",3,8,"trust_neighbors","q26",3,240
"raw",3,8,"trust_neighbors","q26",4,35
"harmonized",3,9,"trust_neighbors","q26",1,21
"harmonized",3,9,"trust_neighbors","q26",2,283
"harmonized",3,9,"trust_neighbors","q26",3,1052
"harmonized",3,9,"trust_neighbors","q26",4,189
"raw",3,9,"trust_neighbors","q26",1,189
"raw",3,9,"trust_neighbors","q26",2,1052
"raw",3,9,"trust_neighbors","q26",3,283
"raw",3,9,"trust_neighbors","q26",4,21
"harmonized",3,10,"trust_neighbors","q26",1,71
"harmonized",3,10,"trust_neighbors","q26",2,422
"harmonized",3,10,"trust_neighbors","q26",3,412
"harmonized",3,10,"trust_neighbors","q26",4,77
"raw",3,10,"trust_neighbors","q26",1,77
"raw",3,10,"trust_neighbors","q26",2,412
"raw",3,10,"trust_neighbors","q26",3,422
"raw",3,10,"trust_neighbors","q26",4,71
"harmonized",3,11,"trust_neighbors","q26",1,380
"harmonized",3,11,"trust_neighbors","q26",2,493
"harmonized",3,11,"trust_neighbors","q26",3,223
"harmonized",3,11,"trust_neighbors","q26",4,28
"raw",3,11,"trust_neighbors","q26",1,28
"raw",3,11,"trust_neighbors","q26",2,223
"raw",3,11,"trust_neighbors","q26",3,493
"raw",3,11,"trust_neighbors","q26",4,380
"harmonized",3,12,"trust_neighbors","q26",1,109
"harmonized",3,12,"trust_neighbors","q26",2,257
"harmonized",3,12,"trust_neighbors","q26",3,687
"harmonized",3,12,"trust_neighbors","q26",4,146
"raw",3,12,"trust_neighbors","q26",1,146
"raw",3,12,"trust_neighbors","q26",2,687
"raw",3,12,"trust_neighbors","q26",3,257
"raw",3,12,"trust_neighbors","q26",4,109
"harmonized",3,13,"trust_neighbors","q26",1,26
"harmonized",3,13,"trust_neighbors","q26",2,243
"harmonized",3,13,"trust_neighbors","q26",3,684
"harmonized",3,13,"trust_neighbors","q26",4,248
"raw",3,13,"trust_neighbors","q26",1,248
"raw",3,13,"trust_neighbors","q26",2,684
"raw",3,13,"trust_neighbors","q26",3,243
"raw",3,13,"trust_neighbors","q26",4,26
"harmonized",2,1,"trust_relatives","q24",1,7
"harmonized",2,1,"trust_relatives","q24",2,118
"harmonized",2,1,"trust_relatives","q24",3,508
"harmonized",2,1,"trust_relatives","q24",4,422
"raw",2,1,"trust_relatives","q24",1,7
"raw",2,1,"trust_relatives","q24",2,118
"raw",2,1,"trust_relatives","q24",3,508
"raw",2,1,"trust_relatives","q24",4,422
"harmonized",2,2,"trust_relatives","q24",1,1
"harmonized",2,2,"trust_relatives","q24",2,98
"harmonized",2,2,"trust_relatives","q24",3,595
"harmonized",2,2,"trust_relatives","q24",4,91
"raw",2,2,"trust_relatives","q24",1,1
"raw",2,2,"trust_relatives","q24",2,98
"raw",2,2,"trust_relatives","q24",3,595
"raw",2,2,"trust_relatives","q24",4,91
"harmonized",2,3,"trust_relatives","q24",1,8
"harmonized",2,3,"trust_relatives","q24",2,139
"harmonized",2,3,"trust_relatives","q24",3,725
"harmonized",2,3,"trust_relatives","q24",4,330
"raw",2,3,"trust_relatives","q24",1,8
"raw",2,3,"trust_relatives","q24",2,139
"raw",2,3,"trust_relatives","q24",3,725
"raw",2,3,"trust_relatives","q24",4,330
"harmonized",2,4,"trust_relatives","q24",1,33
"harmonized",2,4,"trust_relatives","q24",2,1101
"harmonized",2,4,"trust_relatives","q24",3,2499
"harmonized",2,4,"trust_relatives","q24",4,1330
"raw",2,4,"trust_relatives","q24",1,33
"raw",2,4,"trust_relatives","q24",2,1101
"raw",2,4,"trust_relatives","q24",3,2499
"raw",2,4,"trust_relatives","q24",4,1330
"harmonized",2,5,"trust_relatives","q24",1,219
"harmonized",2,5,"trust_relatives","q24",2,380
"harmonized",2,5,"trust_relatives","q24",3,396
"harmonized",2,5,"trust_relatives","q24",4,212
"raw",2,5,"trust_relatives","q24",1,219
"raw",2,5,"trust_relatives","q24",2,380
"raw",2,5,"trust_relatives","q24",3,396
"raw",2,5,"trust_relatives","q24",4,212
"harmonized",2,6,"trust_relatives","q24",1,20
"harmonized",2,6,"trust_relatives","q24",2,108
"harmonized",2,6,"trust_relatives","q24",3,438
"harmonized",2,6,"trust_relatives","q24",4,626
"raw",2,6,"trust_relatives","q24",1,20
"raw",2,6,"trust_relatives","q24",2,108
"raw",2,6,"trust_relatives","q24",3,438
"raw",2,6,"trust_relatives","q24",4,626
"harmonized",2,7,"trust_relatives","q24",1,7
"harmonized",2,7,"trust_relatives","q24",2,210
"harmonized",2,7,"trust_relatives","q24",3,960
"harmonized",2,7,"trust_relatives","q24",4,366
"raw",2,7,"trust_relatives","q24",1,7
"raw",2,7,"trust_relatives","q24",2,210
"raw",2,7,"trust_relatives","q24",3,960
"raw",2,7,"trust_relatives","q24",4,366
"harmonized",2,8,"trust_relatives","q24",1,7
"harmonized",2,8,"trust_relatives","q24",2,83
"harmonized",2,8,"trust_relatives","q24",3,648
"harmonized",2,8,"trust_relatives","q24",4,794
"raw",2,8,"trust_relatives","q24",1,7
"raw",2,8,"trust_relatives","q24",2,83
"raw",2,8,"trust_relatives","q24",3,648
"raw",2,8,"trust_relatives","q24",4,794
"harmonized",2,9,"trust_relatives","q24",1,9
"harmonized",2,9,"trust_relatives","q24",2,117
"harmonized",2,9,"trust_relatives","q24",3,805
"harmonized",2,9,"trust_relatives","q24",4,663
"raw",2,9,"trust_relatives","q24",1,9
"raw",2,9,"trust_relatives","q24",2,117
"raw",2,9,"trust_relatives","q24",3,805
"raw",2,9,"trust_relatives","q24",4,663
"harmonized",2,10,"trust_relatives","q24",1,7
"harmonized",2,10,"trust_relatives","q24",2,85
"harmonized",2,10,"trust_relatives","q24",3,620
"harmonized",2,10,"trust_relatives","q24",4,287
"raw",2,10,"trust_relatives","q24",1,7
"raw",2,10,"trust_relatives","q24",2,85
"raw",2,10,"trust_relatives","q24",3,620
"raw",2,10,"trust_relatives","q24",4,287
"harmonized",2,11,"trust_relatives","q24",1,767
"harmonized",2,11,"trust_relatives","q24",2,396
"harmonized",2,11,"trust_relatives","q24",3,31
"harmonized",2,11,"trust_relatives","q24",4,1
"raw",2,11,"trust_relatives","q24",1,767
"raw",2,11,"trust_relatives","q24",2,396
"raw",2,11,"trust_relatives","q24",3,31
"raw",2,11,"trust_relatives","q24",4,1
"harmonized",2,12,"trust_relatives","q24",1,29
"harmonized",2,12,"trust_relatives","q24",2,85
"harmonized",2,12,"trust_relatives","q24",3,481
"harmonized",2,12,"trust_relatives","q24",4,404
"raw",2,12,"trust_relatives","q24",1,29
"raw",2,12,"trust_relatives","q24",2,85
"raw",2,12,"trust_relatives","q24",3,481
"raw",2,12,"trust_relatives","q24",4,404
"harmonized",2,13,"trust_relatives","q24",1,24
"harmonized",2,13,"trust_relatives","q24",2,241
"harmonized",2,13,"trust_relatives","q24",3,575
"harmonized",2,13,"trust_relatives","q24",4,353
"raw",2,13,"trust_relatives","q24",1,24
"raw",2,13,"trust_relatives","q24",2,241
"raw",2,13,"trust_relatives","q24",3,575
"raw",2,13,"trust_relatives","q24",4,353
"harmonized",3,1,"trust_relatives","q25",1,11
"harmonized",3,1,"trust_relatives","q25",2,182
"harmonized",3,1,"trust_relatives","q25",3,886
"harmonized",3,1,"trust_relatives","q25",4,792
"raw",3,1,"trust_relatives","q25",1,792
"raw",3,1,"trust_relatives","q25",2,886
"raw",3,1,"trust_relatives","q25",3,182
"raw",3,1,"trust_relatives","q25",4,11
"harmonized",3,2,"trust_relatives","q25",1,11
"harmonized",3,2,"trust_relatives","q25",2,71
"harmonized",3,2,"trust_relatives","q25",3,687
"harmonized",3,2,"trust_relatives","q25",4,384
"raw",3,2,"trust_relatives","q25",1,384
"raw",3,2,"trust_relatives","q25",2,687
"raw",3,2,"trust_relatives","q25",3,71
"raw",3,2,"trust_relatives","q25",4,11
"harmonized",3,3,"trust_relatives","q25",1,15
"harmonized",3,3,"trust_relatives","q25",2,119
"harmonized",3,3,"trust_relatives","q25",3,703
"harmonized",3,3,"trust_relatives","q25",4,364
"raw",3,3,"trust_relatives","q25",1,364
"raw",3,3,"trust_relatives","q25",2,703
"raw",3,3,"trust_relatives","q25",3,119
"raw",3,3,"trust_relatives","q25",4,15
"harmonized",3,4,"trust_relatives","q25",1,10
"harmonized",3,4,"trust_relatives","q25",2,130
"harmonized",3,4,"trust_relatives","q25",3,2258
"harmonized",3,4,"trust_relatives","q25",4,1023
"raw",3,4,"trust_relatives","q25",1,1023
"raw",3,4,"trust_relatives","q25",2,2258
"raw",3,4,"trust_relatives","q25",3,130
"raw",3,4,"trust_relatives","q25",4,10
"harmonized",3,5,"trust_relatives","q25",1,5
"harmonized",3,5,"trust_relatives","q25",2,81
"harmonized",3,5,"trust_relatives","q25",3,578
"harmonized",3,5,"trust_relatives","q25",4,544
"raw",3,5,"trust_relatives","q25",1,544
"raw",3,5,"trust_relatives","q25",2,578
"raw",3,5,"trust_relatives","q25",3,81
"raw",3,5,"trust_relatives","q25",4,5
"harmonized",3,6,"trust_relatives","q25",1,27
"harmonized",3,6,"trust_relatives","q25",2,201
"harmonized",3,6,"trust_relatives","q25",3,447
"harmonized",3,6,"trust_relatives","q25",4,518
"raw",3,6,"trust_relatives","q25",1,518
"raw",3,6,"trust_relatives","q25",2,447
"raw",3,6,"trust_relatives","q25",3,201
"raw",3,6,"trust_relatives","q25",4,27
"harmonized",3,7,"trust_relatives","q25",1,15
"harmonized",3,7,"trust_relatives","q25",2,196
"harmonized",3,7,"trust_relatives","q25",3,866
"harmonized",3,7,"trust_relatives","q25",4,463
"raw",3,7,"trust_relatives","q25",1,463
"raw",3,7,"trust_relatives","q25",2,866
"raw",3,7,"trust_relatives","q25",3,196
"raw",3,7,"trust_relatives","q25",4,15
"harmonized",3,8,"trust_relatives","q25",1,15
"harmonized",3,8,"trust_relatives","q25",2,84
"harmonized",3,8,"trust_relatives","q25",3,520
"harmonized",3,8,"trust_relatives","q25",4,873
"raw",3,8,"trust_relatives","q25",1,873
"raw",3,8,"trust_relatives","q25",2,520
"raw",3,8,"trust_relatives","q25",3,84
"raw",3,8,"trust_relatives","q25",4,15
"harmonized",3,9,"trust_relatives","q25",1,5
"harmonized",3,9,"trust_relatives","q25",2,58
"harmonized",3,9,"trust_relatives","q25",3,718
"harmonized",3,9,"trust_relatives","q25",4,767
"raw",3,9,"trust_relatives","q25",1,767
"raw",3,9,"trust_relatives","q25",2,718
"raw",3,9,"trust_relatives","q25",3,58
"raw",3,9,"trust_relatives","q25",4,5
"harmonized",3,10,"trust_relatives","q25",1,17
"harmonized",3,10,"trust_relatives","q25",2,211
"harmonized",3,10,"trust_relatives","q25",3,505
"harmonized",3,10,"trust_relatives","q25",4,252
"raw",3,10,"trust_relatives","q25",1,252
"raw",3,10,"trust_relatives","q25",2,505
"raw",3,10,"trust_relatives","q25",3,211
"raw",3,10,"trust_relatives","q25",4,17
"harmonized",3,11,"trust_relatives","q25",1,681
"harmonized",3,11,"trust_relatives","q25",2,374
"harmonized",3,11,"trust_relatives","q25",3,81
"harmonized",3,11,"trust_relatives","q25",4,6
"raw",3,11,"trust_relatives","q25",1,6
"raw",3,11,"trust_relatives","q25",2,81
"raw",3,11,"trust_relatives","q25",3,374
"raw",3,11,"trust_relatives","q25",4,681
"harmonized",3,12,"trust_relatives","q25",1,18
"harmonized",3,12,"trust_relatives","q25",2,103
"harmonized",3,12,"trust_relatives","q25",3,562
"harmonized",3,12,"trust_relatives","q25",4,517
"raw",3,12,"trust_relatives","q25",1,517
"raw",3,12,"trust_relatives","q25",2,562
"raw",3,12,"trust_relatives","q25",3,103
"raw",3,12,"trust_relatives","q25",4,18
"harmonized",3,13,"trust_relatives","q25",1,15
"harmonized",3,13,"trust_relatives","q25",2,130
"harmonized",3,13,"trust_relatives","q25",3,553
"harmonized",3,13,"trust_relatives","q25",4,508
"raw",3,13,"trust_relatives","q25",1,508
"raw",3,13,"trust_relatives","q25",2,553
"raw",3,13,"trust_relatives","q25",3,130
"raw",3,13,"trust_relatives","q25",4,15
